DATE,AHMEDABAD,BANGALURU,CHANDIGARH,CHENNAI,HYDERABAD,KOLKATA,MUMBAI,PUNE,DELHI,JAIPUR
01-01-2002,224,1324,470,590,1026,729,1849,784,2108,84
01-02-2002,275,981,381,625,1040,705,2037,436,2375,144
01-03-2002,608,414,120,200,334,153,373,174,1037,24
01-04-2002,110,755,251,355,654,338,1001,152,2664,304
01-05-2002,61,1269,437,152,1124,1654,1073,340,5761,1005
01-06-2002,195,390,570,420,1042,1801,1232,705,6196,753
01-07-2002,302,409,551,554,1204,1631,2054,1062,6817,55
01-08-2002,224,531,504,361,846,1186,1501,602,4095,595
01-09-2002,8,333,220,493,788,234,2159,411,1772,127
01-10-2002,35,84,414,284,936,768,3079,416,3195,123
01-11-2002,154,1659,520,850,1122,1342,2722,748,3186,134
01-12-2002,43,1234,596,421,962,1226,3730,733,3581,209
01-01-2003,8,1284,576,768,926,1058,3825,1118,3491,248
01-02-2003,567,1410,470,430,370,794,1960,465,3103,212
01-03-2003,14,691,487,4870,414,991,1370,551,4142,421
01-04-2003,224,693,414,543,356,830,705,329,6330,421
01-05-2003,159,665,556,814,398,1327,940,336,8525,879
01-06-2003,57,762,382,445,260,459,820,225,6424,406
01-07-2003,100,567,544,680,936,1188,3565,957,6721,553
01-08-2003,25,216,225,80,322,90,600,190,2282,53
01-09-2003,192,702,373,360,598,855,2556,651,3882,149
01-10-2003,69,297,200,150,272,459,310,202,1255,50
01-11-2003,317,1333,431,340,520,784,740,493,2823,152
01-12-2003,347,1886,147,690,724,1059,1860,951,1797,156
01-01-2004,457,837,566,779,412,996,860,1185,1842,279
01-02-2004,498,697,215,450,368,747,190,577,2087,225
01-03-2004,618,684,404,946,396,1241,230,310,1571,551
01-04-2004,823,379,392,802,206,1071,110,302,3329,1360
01-05-2004,332,27,256,460,238,1232,2371,117,1881,909
01-06-2004,640,291,426,746,984,1439,1316,828,2770,1132
01-07-2004,312,634,566,800,2086,1322,600,805,4569,1615
01-08-2004,274,820,352,1763,240,1381,890,1721,2288,2170
01-09-2004,159,93,283,85,156,376,160,375,1625,316
01-10-2004,136,590,398,385,652,1029,720,572,2608,197
01-11-2004,156,126,170,40,236,261,130,236,2621,215
01-12-2004,296,207,447,340,422,574,410,671,2258,215
01-01-2005,289,416,331,750,236,753,650,748,3201,257
01-02-2005,334,1036,145,290,624,222,110,401,2421,154
01-03-2005,811,139,337,148,372,162,190,212,3129,571
01-04-2005,227,161,199,90,292,393,1532,351,3432,522
01-05-2005,234,146,640,320,1666,1203,2371,188,2141,2472
01-06-2005,273,144,453,510,1110,1359,22,299,4474,1054
01-07-2005,348,9,296,240,1420,1631,1542,460,1850,1577
01-08-2005,412,117,247,250,164,411,1356,750,2700,590
01-09-2005,246,180,489,1003,212,1962,1406,585,1529,2055
01-10-2005,104,3105,449,70,158,191,2332,4797,341,4049
01-11-2005,241,810,432,210,182,279,1748,1160,921,211
01-12-2005,307,846,471,380,136,81,1954,1148,1915,233
01-01-2006,299,989,392,1044,124,63,1524,770,993,237
01-02-2006,519,880,417,330,60,351,1255,301,2124,268
01-03-2006,629,780,456,40,40,36,1510,248,3153,379
01-04-2006,168,749,345,160,3232,292,1532,12,3360,2797
01-05-2006,165,1080,231,640,3607,423,2371,25,6780,998
01-06-2006,197,990,374,440,3614,531,1316,452,3868,684
01-07-2006,104,605,407,740,3152,993,1542,110,4128,430
01-08-2006,125,891,593,880,118,927,1356,320,3195,294
